日期,代號,名稱,外資(張),投信(張),自營(張),三大法人合計
2026-07-28,1101,台泥,17795.221,12.0,18114.763,35921.984
2026-07-28,1102,亞泥,1601.578,10.0,2252.88,3864.458
2026-07-28,1103,嘉泥,-47.972,0.0,-7.972,-55.944
2026-07-28,1104,環泥,235.0,1.0,244.426,480.426
2026-07-28,1108,幸福,-75.0,0.0,-27.0,-102.0
2026-07-28,1109,信大,40.0,0.0,115.668,155.668
2026-07-28,1110,東泥,66.0,0.0,72.0,138.0
2026-07-28,1201,味全,213.0,0.0,247.0,460.0
2026-07-28,1203,味王,40.0,0.0,54.0,94.0
2026-07-28,1210,大成,-371.646,61.0,9.108,-301.538
2026-07-28,1215,卜蜂,255.725,0.0,252.579,508.304
2026-07-28,1216,統一,780.594,1764.906,4487.134,7032.634
2026-07-28,1217,愛之味,249.0,0.0,561.0,810.0
2026-07-28,1218,泰山,48.0,0.0,16.0,64.0
2026-07-28,1219,福壽,50.191,0.0,104.191,154.382
2026-07-28,1220,台榮,-10.0,0.0,12.0,2.0
2026-07-28,1225,福懋油,59.0,0.0,55.0,114.0
2026-07-28,1227,佳格,1635.065,1.0,1637.065,3273.13
2026-07-28,1229,聯華,771.395,1.0,977.745,1750.14
2026-07-28,1231,聯華食,154.141,0.0,155.547,309.688
2026-07-28,1232,大統益,129.322,0.0,129.322,258.644
2026-07-28,1233,天仁,6.5,0.0,8.5,15.0
2026-07-28,1234,黑松,150.0,0.0,188.0,338.0
2026-07-28,1235,興泰,6.0,0.0,6.0,12.0
2026-07-28,1236,宏亞,2.0,0.0,8.0,10.0
2026-07-28,1240,茂生農經,1.0,1.0,0.0,1.0
2026-07-28,1256,鮮活果汁-KY,-3.4,0.0,4.6,1.1999999999999995
2026-07-28,1259,安心,-1.0,-2.0,0.0,-2.0
2026-07-28,1264,德麥,3.0,2.033,0.0,2.033
2026-07-28,1268,漢來美食,8.0,8.0,0.0,8.0
2026-07-28,1294,漢田生技,-1.0,-1.0,0.0,-1.0
2026-07-28,1295,生合,-9.0,-9.0,0.0,-9.0
2026-07-28,1301,台塑,-3912.9,0.0,-5103.874,-9016.774
2026-07-28,1303,南亞,1198.653,111.903,6334.437,7644.993
2026-07-28,1304,台聚,-2177.948,0.0,-2830.306,-5008.254
2026-07-28,1305,華夏,-1365.0,0.0,-1609.87,-2974.87
2026-07-28,1307,三芳,-129.97,0.0,-106.178,-236.148
2026-07-28,1308,亞聚,-1176.822,0.0,-1260.77,-2437.592
2026-07-28,1309,台達化,583.9,0.0,607.568,1191.4679999999998
2026-07-28,1310,台苯,81.0,0.0,81.0,162.0
2026-07-28,1312,國喬,-2712.0,0.0,-5058.0,-7770.0
2026-07-28,1313,聯成,-1440.251,0.0,-1500.193,-2940.444
2026-07-28,1314,中石化,-2586.549,0.0,-3312.349,-5898.898
2026-07-28,1315,達新,-8.0,0.0,-4.0,-12.0
2026-07-28,1316,上曜,-722.0,0.0,-775.788,-1497.788
2026-07-28,1319,東陽,603.64,1.0,549.644,1154.284
2026-07-28,1321,大洋,8.0,0.0,-48.0,-40.0
2026-07-28,1323,永裕,3.173,0.0,11.173,14.346
2026-07-28,1324,地球,-2.0,0.0,20.0,18.0
2026-07-28,1325,恆大,-25.845,0.0,-25.845,-51.69
2026-07-28,1326,台化,314.472,3.0,-422.534,-105.062
2026-07-28,1336,台翰,1.1,1.236,0.0,1.236
2026-07-28,1337,再生-KY,-198.0,0.0,-198.0,-396.0
2026-07-28,1338,廣華-KY,-7.0,0.0,3.0,-4.0
2026-07-28,1339,昭輝,-17.0,0.0,-5.702,-22.702
2026-07-28,1340,勝悅-KY,-41.0,0.0,-41.0,-82.0
2026-07-28,1341,富林-KY,3.0,0.0,3.0,6.0
2026-07-28,1342,八貫,-85.968,0.0,-73.556,-159.524
2026-07-28,1402,遠東新,2833.23,350.0,3873.3,7056.530000000001
2026-07-28,1409,新纖,2320.866,-7.0,1884.972,4198.838
2026-07-28,1410,南染,16.0,0.0,16.0,32.0
2026-07-28,1413,宏洲,5.7,0.0,1.7,7.4
2026-07-28,1414,東和,52.0,0.0,54.0,106.0
2026-07-28,1416,廣豐,-81.0,0.0,-91.0,-172.0
2026-07-28,1417,嘉裕,-21.0,0.0,-23.0,-44.0
2026-07-28,1418,東華,-1.267,0.0,10.733,9.466
2026-07-28,1419,新紡,7.0,0.0,-21.0,-14.0
2026-07-28,1423,利華,-9.0,0.0,13.0,4.0
2026-07-28,1432,大魯閣,-9.0,0.0,67.0,58.0
2026-07-28,1434,福懋,818.136,1.0,845.774,1664.91
2026-07-28,1435,中福,-3.0,0.0,-5.0,-8.0
2026-07-28,1436,華友聯,-71.685,0.0,-65.685,-137.37
2026-07-28,1437,勤益控,18.0,0.0,42.0,60.0
2026-07-28,1438,三地開發,0.0,0.0,2.0,2.0
2026-07-28,1439,雋揚,-5.0,0.0,-3.0,-8.0
2026-07-28,1440,南紡,-123.0,1.0,-117.368,-239.368
2026-07-28,1441,大東,5.0,0.0,5.0,10.0
2026-07-28,1442,名軒,-189.006,0.0,-183.006,-372.012
2026-07-28,1443,立益物流,3.0,0.0,3.0,6.0
2026-07-28,1444,力麗,192.437,0.0,398.437,590.874
2026-07-28,1445,大宇,-4.0,0.0,-30.0,-34.0
2026-07-28,1446,宏和,2.0,0.0,2.0,4.0
2026-07-28,1447,力鵬,731.914,0.0,705.914,1437.828
2026-07-28,1449,佳和,11.028,0.0,19.028,30.056
2026-07-28,1451,年興,-5.0,0.0,23.0,18.0
2026-07-28,1452,宏益,7.0,0.0,11.0,18.0
2026-07-28,1453,大將,1.69,0.0,17.69,19.380000000000003
