日期,ETF代號,ETF名稱,成分股代號,成分股名稱,權重,持有股數,收盤價,產業,來源
2026-05-12,00982A,主動群益台灣強棒,2330,台積電,8.06,1728000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,6669,緯穎,6.15,513000.0,0.0,電腦及週邊設備業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,2383,台光電,5.17,510000.0,0.0,電子零組件業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,2454,聯發科,4.39,573000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,3105,穩懋,4.36,4118000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,2345,智邦,4.16,797000.0,0.0,通信網路業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,2360,致茂,4.03,799000.0,0.0,其他電子業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,3264,欣銓,3.99,8430000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00982A,主動群益台灣強棒,2308,台達電,3.48,766000.0,0.0,電子零組件業,https://www.capitalfund.com.tw/etf/product/detail/399/buyback
2026-05-12,00992A,主動群益科技創新,2330,台積電,7.46,1761000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,6669,緯穎,5.06,465000.0,0.0,電腦及週邊設備業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,2383,台光電,4.93,536000.0,0.0,電子零組件業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,3037,欣興,3.78,2302000.0,0.0,電子零組件業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,3443,創意,3.77,360000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,2059,川湖,3.66,358000.0,0.0,電子零組件業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,8299,群聯,3.64,711000.0,0.0,半導體業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-12,00992A,主動群益科技創新,2345,智邦,3.4,716000.0,0.0,通信網路業,https://www.capitalfund.com.tw/etf/product/detail/500/buyback
2026-05-13,00400A,主動國泰動能高息,2454,聯發科,8.42,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2330,台積電,7.97,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2383,台光電,6.73,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2308,台達電,5.76,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2360,致茂,4.63,0.0,0.0,其他電子業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2368,金像電,3.94,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,5274,信 驊,3.82,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2408,南亞科,3.78,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,6669,緯穎,3.64,0.0,0.0,電腦及週邊設備業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2059,川湖,3.35,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,3665,貿聯-KY,3.31,0.0,0.0,其他電子業,https://www.cmoney.tw/etf/tw/00400A/fundholding
